transaction_id,is_fraud_true,amount_zscore,transactions_last_1h,transactions_last_24h,avg_amount_30d,distinct_countries_30d,geo_mismatch,night_transaction,velocity_score,device_seen_before,shared_card_fingerprint,ip_reputation_score
ch_e4bce1ac6a34451d,False,-0.463,0,0,7739.61,1,False,False,0.0,False,False,0.268
ch_6ad546e8adfc4dbb,False,0.865,0,0,87.24,1,False,False,0.0,False,False,0.082
ch_2d4f8e314a3c4177,False,-0.156,0,0,65.86,1,False,False,0.0,False,False,0.185
ch_e43f09ad06ee49a8,False,-0.475,0,0,68.33,2,True,False,0.0,False,False,0.248
ch_90895a4fa01542ce,False,0.777,0,0,126.21,1,False,False,0.0,False,False,0.066
ch_f2692a9486154bc2,False,-0.489,0,0,77.37,1,False,True,0.0,False,False,0.084
ch_ae5289254b284f9a,False,0.902,0,0,93.14,1,False,False,0.0,False,False,0.151
ch_9c7bb009ea3d4f67,False,-0.463,0,0,11996.04,1,False,False,0.0,False,False,0.08
ch_0f057680b14f4400,False,0.796,0,0,54105.33,1,False,False,0.0,False,False,0.155
ch_df83c31466c14552,False,-0.579,0,0,7240.95,1,False,False,0.0,False,False,0.102
ch_ab300f952393417e,False,-0.216,0,0,81.01,1,False,False,0.0,False,False,0.015
ch_b5a6ecb62b714e35,False,0.596,0,0,90.83,1,False,False,0.0,False,False,0.121
ch_06bc9fb0f0604ecd,False,-1.035,0,0,73.03,1,False,False,0.0,False,False,0.091
ch_b2e24138f7b64f76,False,-1.164,0,0,99.98,1,False,False,0.0,False,False,0.317
ch_2e05af9d250b40e2,False,0.534,0,0,87.81,1,False,False,0.0,False,False,0.066
ch_b4ab1b97bee947eb,False,-0.523,0,0,75.34,1,False,False,0.0,False,False,0.013
ch_c77e0ad8765547d7,False,1.315,0,0,117.95,1,False,False,0.0,False,False,0.126
ch_07472423a52c4695,False,-0.389,0,0,53.97,1,False,False,0.0,False,False,0.032
ch_e0f7c1c47282494a,False,1.267,0,0,97.3,1,False,True,0.0,False,False,0.916
ch_12da5dc327364622,False,-0.441,0,0,9101.11,1,False,False,0.0,False,False,0.089
ch_4d948ad9f5b04db6,False,0.03,0,0,42119.58,1,False,False,0.0,False,False,0.091
ch_16da1af1e523468d,False,0.931,0,0,151.64,1,False,False,0.0,False,False,0.161
ch_db336b904a6848a2,False,-1.558,0,0,75.72,1,False,False,0.0,False,False,0.051
ch_72361d19a9564195,False,-0.942,0,0,65.94,1,False,False,0.0,False,False,0.123
ch_b90d582913494c97,False,0.734,0,0,86.8,1,False,False,0.0,False,False,0.204
ch_bb3ad3a50ff042a9,False,-0.285,0,0,8487.71,1,False,False,0.0,False,False,0.073
ch_9d3ad4f1b6a94afc,True,2.42,0,0,67.31,1,False,False,0.0,False,False,0.052
ch_b4a7ee0c0f774cff,False,-0.441,0,0,9909.22,1,False,False,0.0,True,False,0.034
ch_c8241c59285e4c93,False,-0.197,0,0,163.32,2,True,False,0.0,False,False,0.894
ch_3e97e747cb624f46,False,-0.343,0,0,36733.38,1,False,False,0.0,False,False,0.036
ch_00767f86102e4bca,False,-1.143,0,0,78.78,1,False,False,0.0,False,False,0.151
ch_5f7ab1703a644133,True,0.294,0,0,58.97,2,True,True,0.0,False,False,0.228
ch_83162c1258bd4c5f,False,-0.9,0,0,56534.37,1,False,False,0.0,False,False,0.994
ch_ac435b800b284535,False,0.215,0,0,36376.95,1,False,False,0.0,False,False,0.156
ch_bc8b131edb1c4e1c,False,-0.039,0,0,78.35,1,False,False,0.0,False,False,0.088
ch_969a3de93db34db4,False,-0.441,0,0,9423.15,1,False,False,0.0,False,False,0.169
ch_d4f36e26c3df4eda,False,2.817,0,0,55522.27,1,False,False,0.0,False,False,0.135
ch_325e1f4315f74899,True,0.188,0,0,123.1,2,True,False,0.0,False,False,0.117
