audit_id,event_type,table_name,record_id,user_id,user_role,ip_address,query_hash,created_at
aud_20c4105b4a014d43,LOGIN,,,u_dave,admin,172.24.27.177,e2351ddc12754981,2026-06-22T14:41:41Z
aud_6a40cee63533402a,EXPORT,refunds,,u_alice,analyst,172.18.157.219,1b9037fe0ddf4005,2026-05-10T07:34:23Z
aud_dde5f53a59c64d3e,INSERT,disputes,,svc_scoring,service,192.168.236.254,fce4d62d61d6453a,2026-02-12T21:24:05Z
aud_dd0626ff9ce541f5,INSERT,customers,cus_c9a82ad62e82418e,u_alice,analyst,10.201.49.180,89cfed773327488f,2026-07-14T04:28:54Z
aud_a12c3a8e64ff4458,UPDATE,customers,cus_420b937dbb424eaa,svc_scoring,service,10.152.101.65,c3c8c2d9497a43e7,2025-09-18T19:57:10Z
aud_d7ae52850b2b41dd,SELECT,transactions,,u_bob,data_engineer,172.30.143.88,89090c753be54054,2026-07-26T12:38:08Z
aud_2180081580464dc6,INSERT,transactions,,u_alice,analyst,192.168.135.183,8557d2285e994f1c,2026-02-22T20:46:30Z
aud_92753ec82e7b4559,INSERT,merchants,,u_alice,analyst,172.21.253.121,3d7049b8ca2b4842,2026-04-06T03:18:11Z
aud_14c5555658d54a9d,SELECT,transactions,,u_alice,analyst,10.132.197.73,e8e262f0ca024a7c,2026-03-17T02:23:12Z
aud_413fa4b43cb440cb,UPDATE,transactions,,u_eve,readonly,192.168.9.44,ac368e5f724d4ca8,2026-01-02T20:17:07Z
aud_38797dc31b234d01,SELECT,payment_methods,,svc_scoring,service,10.6.207.220,cfddf9496d8140c0,2026-02-23T01:19:32Z
aud_bffda1dd50314ebf,LOGIN_FAILED,,,u_alice,analyst,10.235.154.124,c172d61b895e449a,2026-06-05T19:40:05Z
aud_6a9c4a2f881f4bbc,SELECT,payment_methods,,u_bob,data_engineer,192.168.249.51,56b7c1c97aac44f6,2026-01-26T23:30:13Z
aud_d32bfaf85bc44849,LOGIN_FAILED,,,u_bob,data_engineer,172.27.139.23,fa2fd9294ee54ac3,2025-10-14T07:12:10Z
aud_daae8eeccf554e2c,INSERT,merchants,,u_carol,compliance,192.168.202.61,8922c47679324167,2026-08-18T21:18:55Z
aud_10d330d4aa7d42a4,INSERT,customers,cus_9bde56e460554d7d,svc_scoring,service,172.20.82.218,cad985001de542de,2026-04-12T02:27:53Z
aud_20122362cb7c4184,SELECT,transactions,,u_carol,compliance,10.8.34.28,68da8d62e5db48ed,2026-03-19T01:40:43Z
