rate_date,currency_code,rate_to_usd,source
2025-09-14,USD,1.0,ECB
2025-09-15,USD,1.0,ECB
2025-09-16,USD,1.0,ECB
2025-09-17,USD,1.0,ECB
2025-09-18,USD,1.0,ECB
2025-09-19,USD,1.0,ECB
2025-09-20,USD,1.0,ECB
2025-09-21,USD,1.0,ECB
2025-09-22,USD,1.0,ECB
2025-09-23,USD,1.0,ECB
2025-09-24,USD,1.0,ECB
2025-09-25,USD,1.0,ECB
2025-09-26,USD,1.0,ECB
2025-09-27,USD,1.0,ECB
2025-09-28,USD,1.0,ECB
2025-09-29,USD,1.0,ECB
2025-09-30,USD,1.0,ECB
2025-10-01,USD,1.0,ECB
2025-10-02,USD,1.0,ECB
2025-10-03,USD,1.0,ECB
2025-10-04,USD,1.0,ECB
2025-10-05,USD,1.0,ECB
2025-10-06,USD,1.0,ECB
2025-10-07,USD,1.0,ECB
2025-10-08,USD,1.0,ECB
2025-10-09,USD,1.0,ECB
2025-10-10,USD,1.0,ECB
2025-10-11,USD,1.0,ECB
2025-10-12,USD,1.0,ECB
2025-10-13,USD,1.0,ECB
2025-10-14,USD,1.0,ECB
2025-10-15,USD,1.0,ECB
2025-10-16,USD,1.0,ECB
2025-10-17,USD,1.0,ECB
2025-10-18,USD,1.0,ECB
2025-10-19,USD,1.0,ECB
2025-10-20,USD,1.0,ECB
2025-10-21,USD,1.0,ECB
2025-10-22,USD,1.0,ECB
2025-10-23,USD,1.0,ECB
2025-10-24,USD,1.0,ECB
2025-10-25,USD,1.0,ECB
2025-10-26,USD,1.0,ECB
2025-10-27,USD,1.0,ECB
2025-10-28,USD,1.0,ECB
2025-10-29,USD,1.0,ECB
2025-10-30,USD,1.0,ECB
2025-10-31,USD,1.0,ECB
2025-11-01,USD,1.0,ECB
2025-11-02,USD,1.0,ECB
2025-11-03,USD,1.0,ECB
2025-11-04,USD,1.0,ECB
2025-11-05,USD,1.0,ECB
2025-11-06,USD,1.0,ECB
2025-11-07,USD,1.0,ECB
2025-11-08,USD,1.0,ECB
2025-11-09,USD,1.0,ECB
2025-11-10,USD,1.0,ECB
2025-11-11,USD,1.0,ECB
2025-11-12,USD,1.0,ECB
2025-11-13,USD,1.0,ECB
2025-11-14,USD,1.0,ECB
2025-11-15,USD,1.0,ECB
2025-11-16,USD,1.0,ECB
2025-11-17,USD,1.0,ECB
2025-11-18,USD,1.0,ECB
2025-11-19,USD,1.0,ECB
2025-11-20,USD,1.0,ECB
2025-11-21,USD,1.0,ECB
2025-11-22,USD,1.0,ECB
2025-11-23,USD,1.0,ECB
2025-11-24,USD,1.0,ECB
2025-11-25,USD,1.0,ECB
2025-11-26,USD,1.0,ECB
2025-11-27,USD,1.0,ECB
2025-11-28,USD,1.0,ECB
2025-11-29,USD,1.0,ECB
2025-11-30,USD,1.0,ECB
2025-12-01,USD,1.0,ECB
2025-12-02,USD,1.0,ECB
2025-12-03,USD,1.0,ECB
2025-12-04,USD,1.0,ECB
2025-12-05,USD,1.0,ECB
2025-12-06,USD,1.0,ECB
2025-12-07,USD,1.0,ECB
2025-12-08,USD,1.0,ECB
2025-12-09,USD,1.0,ECB
2025-12-10,USD,1.0,ECB
2025-12-11,USD,1.0,ECB
2025-12-12,USD,1.0,ECB
2025-12-13,USD,1.0,ECB
2025-12-14,USD,1.0,ECB
2025-12-15,USD,1.0,ECB
2025-12-16,USD,1.0,ECB
2025-12-17,USD,1.0,ECB
2025-12-18,USD,1.0,ECB
2025-12-19,USD,1.0,ECB
2025-12-20,USD,1.0,ECB
2025-12-21,USD,1.0,ECB
2025-12-22,USD,1.0,ECB
2025-12-23,USD,1.0,ECB
2025-12-24,USD,1.0,ECB
2025-12-25,USD,1.0,ECB
2025-12-26,USD,1.0,ECB
2025-12-27,USD,1.0,ECB
2025-12-28,USD,1.0,ECB
2025-12-29,USD,1.0,ECB
2025-12-30,USD,1.0,ECB
2025-12-31,USD,1.0,ECB
2026-01-01,USD,1.0,ECB
2026-01-02,USD,1.0,ECB
2026-01-03,USD,1.0,ECB
2026-01-04,USD,1.0,ECB
2026-01-05,USD,1.0,ECB
2026-01-06,USD,1.0,ECB
2026-01-07,USD,1.0,ECB
2026-01-08,USD,1.0,ECB
2026-01-09,USD,1.0,ECB
2026-01-10,USD,1.0,ECB
2026-01-11,USD,1.0,ECB
2026-01-12,USD,1.0,ECB
2026-01-13,USD,1.0,ECB
2026-01-14,USD,1.0,ECB
2026-01-15,USD,1.0,ECB
2026-01-16,USD,1.0,ECB
2026-01-17,USD,1.0,ECB
2026-01-18,USD,1.0,ECB
2026-01-19,USD,1.0,ECB
2026-01-20,USD,1.0,ECB
2026-01-21,USD,1.0,ECB
2026-01-22,USD,1.0,ECB
2026-01-23,USD,1.0,ECB
2026-01-24,USD,1.0,ECB
2026-01-25,USD,1.0,ECB
2026-01-26,USD,1.0,ECB
2026-01-27,USD,1.0,ECB
2026-01-28,USD,1.0,ECB
2026-01-29,USD,1.0,ECB
2026-01-30,USD,1.0,ECB
2026-01-31,USD,1.0,ECB
2026-02-01,USD,1.0,ECB
2026-02-02,USD,1.0,ECB
2026-02-03,USD,1.0,ECB
2026-02-04,USD,1.0,ECB
2026-02-05,USD,1.0,ECB
2026-02-06,USD,1.0,ECB
2026-02-07,USD,1.0,ECB
2026-02-08,USD,1.0,ECB
2026-02-09,USD,1.0,ECB
2026-02-10,USD,1.0,ECB
2026-02-11,USD,1.0,ECB
2026-02-12,USD,1.0,ECB
2026-02-13,USD,1.0,ECB
2026-02-14,USD,1.0,ECB
2026-02-15,USD,1.0,ECB
2026-02-16,USD,1.0,ECB
2026-02-17,USD,1.0,ECB
2026-02-18,USD,1.0,ECB
2026-02-19,USD,1.0,ECB
2026-02-20,USD,1.0,ECB
2026-02-21,USD,1.0,ECB
2026-02-22,USD,1.0,ECB
2026-02-23,USD,1.0,ECB
2026-02-24,USD,1.0,ECB
2026-02-25,USD,1.0,ECB
2026-02-26,USD,1.0,ECB
2026-02-27,USD,1.0,ECB
2026-02-28,USD,1.0,ECB
2026-03-01,USD,1.0,ECB
2026-03-02,USD,1.0,ECB
2026-03-03,USD,1.0,ECB
2026-03-04,USD,1.0,ECB
2026-03-05,USD,1.0,ECB
2026-03-06,USD,1.0,ECB
2026-03-07,USD,1.0,ECB
2026-03-08,USD,1.0,ECB
2026-03-09,USD,1.0,ECB
2026-03-10,USD,1.0,ECB
2026-03-11,USD,1.0,ECB
2026-03-12,USD,1.0,ECB
2026-03-13,USD,1.0,ECB
2026-03-14,USD,1.0,ECB
2026-03-15,USD,1.0,ECB
2026-03-16,USD,1.0,ECB
2026-03-17,USD,1.0,ECB
2026-03-18,USD,1.0,ECB
2026-03-19,USD,1.0,ECB
2026-03-20,USD,1.0,ECB
2026-03-21,USD,1.0,ECB
2026-03-22,USD,1.0,ECB
2026-03-23,USD,1.0,ECB
2026-03-24,USD,1.0,ECB
2026-03-25,USD,1.0,ECB
2026-03-26,USD,1.0,ECB
2026-03-27,USD,1.0,ECB
2026-03-28,USD,1.0,ECB
2026-03-29,USD,1.0,ECB
2026-03-30,USD,1.0,ECB
2026-03-31,USD,1.0,ECB
2026-04-01,USD,1.0,ECB
2026-04-02,USD,1.0,ECB
2026-04-03,USD,1.0,ECB
2026-04-04,USD,1.0,ECB
2026-04-05,USD,1.0,ECB
2026-04-06,USD,1.0,ECB
2026-04-07,USD,1.0,ECB
2026-04-08,USD,1.0,ECB
2026-04-09,USD,1.0,ECB
2026-04-10,USD,1.0,ECB
2026-04-11,USD,1.0,ECB
2026-04-12,USD,1.0,ECB
2026-04-13,USD,1.0,ECB
2026-04-14,USD,1.0,ECB
2026-04-15,USD,1.0,ECB
2026-04-16,USD,1.0,ECB
2026-04-17,USD,1.0,ECB
2026-04-18,USD,1.0,ECB
2026-04-19,USD,1.0,ECB
2026-04-20,USD,1.0,ECB
2026-04-21,USD,1.0,ECB
2026-04-22,USD,1.0,ECB
2026-04-23,USD,1.0,ECB
2026-04-24,USD,1.0,ECB
2026-04-25,USD,1.0,ECB
2026-04-26,USD,1.0,ECB
2026-04-27,USD,1.0,ECB
2026-04-28,USD,1.0,ECB
2026-04-29,USD,1.0,ECB
2026-04-30,USD,1.0,ECB
2026-05-01,USD,1.0,ECB
2026-05-02,USD,1.0,ECB
2026-05-03,USD,1.0,ECB
2026-05-04,USD,1.0,ECB
2026-05-05,USD,1.0,ECB
2026-05-06,USD,1.0,ECB
2026-05-07,USD,1.0,ECB
2026-05-08,USD,1.0,ECB
2026-05-09,USD,1.0,ECB
2026-05-10,USD,1.0,ECB
2026-05-11,USD,1.0,ECB
2026-05-12,USD,1.0,ECB
2026-05-13,USD,1.0,ECB
2026-05-14,USD,1.0,ECB
2026-05-15,USD,1.0,ECB
2026-05-16,USD,1.0,ECB
2026-05-17,USD,1.0,ECB
2026-05-18,USD,1.0,ECB
2026-05-19,USD,1.0,ECB
2026-05-20,USD,1.0,ECB
2026-05-21,USD,1.0,ECB
2026-05-22,USD,1.0,ECB
2026-05-23,USD,1.0,ECB
2026-05-24,USD,1.0,ECB
2026-05-25,USD,1.0,ECB
2026-05-26,USD,1.0,ECB
2026-05-27,USD,1.0,ECB
2026-05-28,USD,1.0,ECB
2026-05-29,USD,1.0,ECB
2026-05-30,USD,1.0,ECB
2026-05-31,USD,1.0,ECB
2026-06-01,USD,1.0,ECB
2026-06-02,USD,1.0,ECB
2026-06-03,USD,1.0,ECB
2026-06-04,USD,1.0,ECB
2026-06-05,USD,1.0,ECB
2026-06-06,USD,1.0,ECB
2026-06-07,USD,1.0,ECB
2026-06-08,USD,1.0,ECB
2026-06-09,USD,1.0,ECB
2026-06-10,USD,1.0,ECB
2026-06-11,USD,1.0,ECB
2026-06-12,USD,1.0,ECB
2026-06-13,USD,1.0,ECB
2026-06-14,USD,1.0,ECB
2026-06-15,USD,1.0,ECB
2026-06-16,USD,1.0,ECB
2026-06-17,USD,1.0,ECB
2026-06-18,USD,1.0,ECB
2026-06-19,USD,1.0,ECB
2026-06-20,USD,1.0,ECB
2026-06-21,USD,1.0,ECB
2026-06-22,USD,1.0,ECB
2026-06-23,USD,1.0,ECB
2026-06-24,USD,1.0,ECB
2026-06-25,USD,1.0,ECB
2026-06-26,USD,1.0,ECB
2026-06-27,USD,1.0,ECB
2026-06-28,USD,1.0,ECB
2026-06-29,USD,1.0,ECB
2026-06-30,USD,1.0,ECB
2026-07-01,USD,1.0,ECB
2026-07-02,USD,1.0,ECB
2026-07-03,USD,1.0,ECB
2026-07-04,USD,1.0,ECB
2026-07-05,USD,1.0,ECB
2026-07-06,USD,1.0,ECB
2026-07-07,USD,1.0,ECB
