fraud_id,transaction_id,anomaly_score,risk_level,action_taken,model_version,flagged_at
fr_93a992ee46af4aee,ch_96d9471b70444e75,0.5881,medium,challenge_3ds,fraud-xgb-v2.4.1,2025-09-15T18:08:42Z
fr_1f6a6e6e062541df,ch_612b7ccb5bf74525,0.3979,medium,challenge_3ds,fraud-xgb-v2.4.1,2025-09-16T13:49:07Z
fr_faf5059364244a4c,ch_0e0b721be14b4e75,0.3398,medium,challenge_3ds,fraud-xgb-v2.4.1,2025-09-24T18:30:18Z
fr_9201da70ecfd4eb4,ch_4f46b783786c40bb,0.4283,medium,challenge_3ds,fraud-xgb-v2.4.1,2025-09-25T11:30:17Z
fr_54089c41835b46d7,ch_252d39f4b8d7401c,0.4034,medium,challenge_3ds,fraud-xgb-v2.4.1,2025-09-27T02:36:44Z
fr_447dbd4c469d47a7,ch_6f7e1d02fc1c4652,0.5833,medium,challenge_3ds,fraud-xgb-v2.4.1,2025-09-28T22:24:05Z
fr_cd701bf4875947b1,ch_edf4dba8166e48f9,0.8268,high,review,fraud-xgb-v2.4.1,2025-10-02T15:27:32Z
fr_346b492c9c884ff5,ch_9865dbcef4fc47a8,0.58,medium,challenge_3ds,fraud-xgb-v2.4.1,2025-10-09T17:44:17Z
fr_f89225f8c9304714,ch_b6090025abdb4b88,0.4656,medium,challenge_3ds,fraud-xgb-v2.4.1,2025-10-09T18:04:17Z
fr_2bc4ddc7b2714c8a,ch_b7e79e72238e45ca,0.4373,medium,challenge_3ds,fraud-xgb-v2.4.1,2025-10-24T01:27:25Z
fr_937d6147a70e442d,ch_5716d1f039864425,0.457,medium,challenge_3ds,fraud-xgb-v2.4.1,2025-11-05T10:19:04Z
fr_bcf8d107770e4c07,ch_939a81744bde4426,0.6806,high,review,fraud-xgb-v2.4.1,2025-11-07T19:31:13Z
fr_6ccf5e24efd9441d,ch_20aabcbb66be4c5a,0.4715,medium,challenge_3ds,fraud-xgb-v2.4.1,2025-11-10T14:16:19Z
fr_cf9c3b137be4452f,ch_ee363b61bdfb40ce,0.3334,medium,challenge_3ds,fraud-xgb-v2.4.1,2025-11-11T10:32:51Z
fr_f8f21d7aa32d45f4,ch_4f930a711f124cda,0.5414,medium,challenge_3ds,fraud-xgb-v2.4.1,2025-11-13T22:49:34Z
fr_0a1562c05be14793,ch_b80ffbf30c754cd4,0.7041,high,review,fraud-xgb-v2.4.1,2025-11-20T10:30:36Z
fr_fb1d08cb772d4478,ch_83f86d63d3c043a2,0.308,medium,challenge_3ds,fraud-xgb-v2.4.1,2025-11-22T09:42:55Z
fr_bf1282c7721b4a36,ch_dc7a407548d94c1b,0.6138,high,review,fraud-xgb-v2.4.1,2025-12-02T10:46:19Z
fr_957b330c03f243d2,ch_885f0431b7524368,0.6758,high,review,fraud-xgb-v2.4.1,2025-12-02T21:00:49Z
fr_e872685c3bc54560,ch_72fda040f07a45cf,0.8593,critical,block,fraud-xgb-v2.4.1,2025-12-03T15:40:39Z
fr_a393cb65102340f8,ch_695f15d030fa4c15,0.4863,medium,challenge_3ds,fraud-xgb-v2.4.1,2025-12-17T17:17:07Z
fr_db6c83cf2f3d487a,ch_0d9f4680c49b4491,0.6263,high,review,fraud-xgb-v2.4.1,2026-01-07T20:17:05Z
fr_fc5fd7856bd34fd5,ch_e60f638959ea4cac,0.3076,medium,challenge_3ds,fraud-xgb-v2.4.1,2026-01-10T17:35:29Z
fr_90b2301ea04a4cb1,ch_a8ebdeb86f1b4909,0.4061,medium,challenge_3ds,fraud-xgb-v2.4.1,2026-01-12T14:34:46Z
fr_d283f0bd21bb4cdc,ch_0eb56944540041ab,0.9245,critical,block,fraud-xgb-v2.4.1,2026-01-13T03:18:33Z
fr_24ca240c50ec4e1e,ch_01570f2969484547,0.7794,high,review,fraud-xgb-v2.4.1,2026-01-15T00:54:31Z
fr_ecdae3c2325548ea,ch_bfd0bc76efe64436,0.4139,medium,challenge_3ds,fraud-xgb-v2.4.1,2026-01-19T18:59:08Z
fr_0198d66f62e74e41,ch_f534af3b358e494a,0.5083,medium,challenge_3ds,fraud-xgb-v2.4.1,2026-01-29T11:11:10Z
