year_month,geography_sk,total_transactions,total_flagged,total_critical,total_disputed,avg_anomaly_score,fraud_rate_pct
2025-09,1,2,0,0,1,,0.0
2025-09,2,1,0,0,0,,0.0
2025-09,3,5,0,0,0,,0.0
2025-09,4,5,0,0,0,,0.0
2025-09,5,7,0,0,1,0.4906,0.0
2025-09,6,4,0,0,2,0.4283,0.0
2025-09,7,2,0,0,0,,0.0
2025-09,8,5,0,0,0,,0.0
2025-09,9,5,0,0,0,0.3398,0.0
2025-09,10,2,0,0,0,,0.0
2025-09,11,3,0,0,0,0.4958,0.0
2025-10,1,2,0,0,0,,0.0
2025-10,2,3,0,0,0,,0.0
2025-10,3,5,0,0,1,0.4373,0.0
2025-10,4,7,0,0,2,0.4656,0.0
2025-10,5,7,1,0,1,0.8268,14.286
2025-10,6,9,0,0,0,,0.0
2025-10,7,19,0,0,0,0.58,0.0
2025-10,8,10,0,0,1,,0.0
2025-10,9,4,0,0,0,,0.0
2025-10,10,4,0,0,0,,0.0
2025-10,11,7,0,0,1,,0.0
2025-11,1,5,0,0,0,,0.0
2025-11,2,8,0,0,0,,0.0
2025-11,3,4,0,0,0,0.3334,0.0
2025-11,4,7,0,0,0,0.5414,0.0
2025-11,5,12,0,0,1,,0.0
2025-11,6,5,0,0,0,,0.0
2025-11,7,10,0,0,1,,0.0
2025-11,8,7,1,0,1,0.7041,14.286
2025-11,9,8,1,0,2,0.576,12.5
2025-11,10,4,0,0,1,0.3825,0.0
2025-11,11,11,0,0,0,,0.0
2025-12,1,10,0,0,2,,0.0
2025-12,2,10,1,1,2,0.6728,10.0
2025-12,3,7,1,0,0,0.6758,14.286
2025-12,4,7,0,0,0,,0.0
2025-12,5,12,0,0,0,,0.0
2025-12,6,8,0,0,0,,0.0
2025-12,7,9,0,0,0,,0.0
2025-12,8,5,0,0,0,,0.0
2025-12,9,4,0,0,0,,0.0
2025-12,10,5,1,0,0,0.6138,20.0
2025-12,11,3,0,0,1,,0.0
2026-01,1,3,0,0,0,0.4061,0.0
2026-01,2,10,0,0,0,,0.0
2026-01,3,8,1,0,0,0.4902,12.5
2026-01,4,5,1,0,0,0.7794,20.0
2026-01,5,8,0,0,1,0.5083,0.0
2026-01,6,6,0,0,0,,0.0
2026-01,7,7,0,0,1,0.3608,0.0
2026-01,8,6,0,0,0,,0.0
2026-01,9,3,0,0,0,,0.0
2026-01,10,5,1,1,0,0.9245,20.0
2026-01,11,8,0,0,0,,0.0
2026-02,1,7,0,0,2,,0.0
2026-02,2,4,0,0,0,,0.0
2026-02,3,6,0,0,0,0.5741,0.0
2026-02,4,8,0,0,0,,0.0
2026-02,5,10,0,0,0,,0.0
2026-02,6,8,0,0,0,0.3003,0.0
2026-02,7,6,0,0,1,,0.0
2026-02,8,10,0,0,0,0.3095,0.0
2026-02,9,7,0,0,1,0.313,0.0
2026-02,10,7,0,0,1,,0.0
2026-02,11,6,0,0,0,,0.0
2026-03,1,6,0,0,0,0.4152,0.0
2026-03,2,1,0,0,0,0.5979,0.0
2026-03,3,2,0,0,0,,0.0
2026-03,4,11,0,0,0,,0.0
2026-03,5,10,0,0,0,,0.0
2026-03,6,8,0,0,0,,0.0
2026-03,7,6,0,0,0,,0.0
2026-03,8,7,0,0,1,,0.0
2026-03,9,3,0,0,0,0.4667,0.0
2026-03,10,5,0,0,0,,0.0
2026-03,11,9,0,0,0,,0.0
2026-04,1,11,0,0,0,0.3278,0.0
2026-04,2,5,0,0,0,,0.0
2026-04,3,4,0,0,0,0.5035,0.0
2026-04,4,6,0,0,0,,0.0
2026-04,5,8,0,0,0,,0.0
2026-04,6,9,0,0,0,0.3508,0.0
2026-04,7,9,0,0,0,,0.0
2026-04,8,10,0,0,0,0.3152,0.0
2026-04,9,4,0,0,0,0.3636,0.0
2026-04,10,6,0,0,1,0.3035,0.0
2026-04,11,7,0,0,0,0.5438,0.0
2026-05,1,12,0,0,2,0.3064,0.0
2026-05,2,8,0,0,0,,0.0
2026-05,3,3,0,0,0,,0.0
2026-05,4,15,0,0,1,,0.0
2026-05,5,17,0,0,2,0.378,0.0
2026-05,6,6,0,0,0,,0.0
2026-05,7,10,0,0,0,0.4098,0.0
2026-05,8,6,0,0,0,,0.0
2026-05,9,11,0,0,1,0.4818,0.0
2026-05,10,6,0,0,0,0.3467,0.0
2026-05,11,12,0,0,0,,0.0
2026-06,1,9,0,0,3,0.465,0.0
2026-06,2,13,0,0,1,0.302,0.0
2026-06,3,4,0,0,0,0.3239,0.0
2026-06,4,14,0,0,1,0.3211,0.0
2026-06,5,10,0,0,0,,0.0
2026-06,6,3,0,0,0,,0.0
2026-06,7,8,0,0,1,0.4053,0.0
2026-06,8,5,0,0,0,0.4552,0.0
2026-06,9,6,0,0,0,,0.0
2026-06,10,9,1,0,0,0.7487,11.111
2026-06,11,6,0,0,1,0.3571,0.0
2026-07,1,14,0,0,0,,0.0
2026-07,2,10,0,0,0,,0.0
2026-07,3,5,0,0,1,,0.0
2026-07,4,13,0,0,0,0.4684,0.0
2026-07,5,17,1,0,3,0.694,5.882
2026-07,6,10,0,0,1,,0.0
2026-07,7,10,1,1,1,0.9208,10.0
2026-07,8,11,1,0,1,0.7209,9.091
2026-07,9,6,0,0,0,,0.0
2026-07,10,10,0,0,0,0.3716,0.0
2026-07,11,16,0,0,0,,0.0
2026-08,1,8,0,0,0,,0.0
2026-08,2,6,0,0,0,0.5875,0.0
2026-08,3,12,0,0,0,,0.0
2026-08,4,5,0,0,0,,0.0
2026-08,5,11,0,0,0,,0.0
2026-08,6,7,0,0,0,,0.0
2026-08,7,12,1,0,1,0.8486,8.333
2026-08,8,11,0,0,0,0.3408,0.0
2026-08,9,12,1,1,0,0.6286,8.333
2026-08,10,6,0,0,0,,0.0
2026-08,11,12,0,0,1,0.3421,0.0
2026-09,1,3,0,0,0,,0.0
2026-09,2,1,0,0,0,,0.0
2026-09,3,4,1,0,0,0.6455,25.0
2026-09,4,3,0,0,0,0.37,0.0
2026-09,5,6,0,0,0,,0.0
2026-09,6,2,0,0,0,,0.0
2026-09,7,6,0,0,0,,0.0
2026-09,8,3,0,0,0,,0.0
2026-09,9,4,0,0,0,,0.0
2026-09,10,2,0,0,0,,0.0
2026-09,11,6,0,0,0,0.4135,0.0
2026-12,6,1,0,0,0,,0.0
2026-12,11,1,0,0,0,0.4197,0.0
2027-04,1,1,0,0,0,,0.0
2027-05,8,1,0,0,0,,0.0
