product_sk,product_id,merchant_id,name,billing_interval,unit_price,currency_code
1,prod_bd8112d47b944bbc,mer_ba49cfc9de3a4d34,Pro plan,year,169.96,USD
2,prod_35c8e384e7644c10,mer_ba49cfc9de3a4d34,Enterprise plan,month,141.81,USD
3,prod_77c51468c1a24342,mer_ba49cfc9de3a4d34,Team plan,month,136.28,USD
4,prod_cc81f54e42474ba6,mer_dbdcfcb3e3f34611,Premium listing,,34750.36,NGN
5,prod_6e5b52b8930b409a,mer_dbdcfcb3e3f34611,Listing fee,,24992.08,NGN
6,prod_e4f95634cb974fbe,mer_dbdcfcb3e3f34611,Featured slot,,66494.26,NGN
7,prod_e1b870e53aef4714,mer_afd24151bb66484a,Watch,,201.32,AUD
8,prod_cb77f961b7404d29,mer_afd24151bb66484a,Perfume,,243.09,AUD
9,prod_6514a6202f644e57,mer_afd24151bb66484a,Shoes,,97.72,AUD
10,prod_ede8dfdbe3274223,mer_d98baf6fb1da413b,Lamp,,66.39,GBP
11,prod_2fdde53155e3454d,mer_d98baf6fb1da413b,Sneakers,,13.52,GBP
12,prod_5f1c308ca00b4bd6,mer_d98baf6fb1da413b,Headphones,,60.28,GBP
13,prod_d0823f21e04f43c2,mer_25177b9e72a64ca5,Backpack,,112.37,GBP
14,prod_28bbad299c8c46b2,mer_25177b9e72a64ca5,Sneakers,,57.51,GBP
15,prod_d1f7e906964247fa,mer_25177b9e72a64ca5,Headphones,,99.02,GBP
16,prod_9d523e7cc7744061,mer_f157f5f3429f4a9b,Perfume,,67.86,GBP
17,prod_7588061f4c7544ae,mer_f157f5f3429f4a9b,Watch,,87.15,GBP
18,prod_6a427be3c26441f4,mer_f157f5f3429f4a9b,Jacket,,31.96,GBP
19,prod_ac77b5184caa487d,mer_e61e35c1b9244af2,Car rental,,88.62,EUR
20,prod_28b3c7dd1bf64bf9,mer_e61e35c1b9244af2,Flight,,42.12,EUR
21,prod_0683127e33e94ff1,mer_e61e35c1b9244af2,Insurance,,77.06,EUR
22,prod_5f29b457aa8943fa,mer_55446817044148a5,Skin bundle,,15.7,EUR
23,prod_18565eec4f474a95,mer_55446817044148a5,Gold pack,,136.25,EUR
24,prod_cf89d246cda64648,mer_55446817044148a5,Season pass,year,118.04,EUR
25,prod_44c1d2aecb924dec,mer_55f1915f3b6c4bb4,Gold pack,,104.83,EUR
26,prod_6e70e57c848c484d,mer_55f1915f3b6c4bb4,Season pass,year,149.64,EUR
27,prod_e8c8d94f81734c67,mer_55f1915f3b6c4bb4,Skin bundle,,44.67,EUR
28,prod_d851624490b34ceb,mer_78864bf1d15a424c,Skin bundle,,262.32,AUD
29,prod_566f9913834c48ca,mer_78864bf1d15a424c,Season pass,year,205.25,AUD
30,prod_c2716cf2c6e3402f,mer_78864bf1d15a424c,Gold pack,,123.44,AUD
31,prod_e362701acb2443c1,mer_e882a3b4ae604fa7,Headphones,,14894.0,JPY
32,prod_359e5b8272ab44ff,mer_e882a3b4ae604fa7,T-shirt,,4245.0,JPY
33,prod_2cdf5d3663544123,mer_e882a3b4ae604fa7,Sneakers,,5584.0,JPY
34,prod_67f1a1889bb14419,mer_9c2c40d0fb084265,Consultation,,6609.0,JPY
35,prod_11b9afa317c14a20,mer_9c2c40d0fb084265,Monthly plan,year,6987.0,JPY
