rate_date,currency_code,rate_to_usd
2025-09-14,USD,1.0
2025-09-15,USD,1.0
2025-09-16,USD,1.0
2025-09-17,USD,1.0
2025-09-18,USD,1.0
2025-09-19,USD,1.0
2025-09-20,USD,1.0
2025-09-21,USD,1.0
2025-09-22,USD,1.0
2025-09-23,USD,1.0
2025-09-24,USD,1.0
2025-09-25,USD,1.0
2025-09-26,USD,1.0
2025-09-27,USD,1.0
2025-09-28,USD,1.0
2025-09-29,USD,1.0
2025-09-30,USD,1.0
2025-10-01,USD,1.0
2025-10-02,USD,1.0
2025-10-03,USD,1.0
2025-10-04,USD,1.0
2025-10-05,USD,1.0
2025-10-06,USD,1.0
2025-10-07,USD,1.0
2025-10-08,USD,1.0
2025-10-09,USD,1.0
2025-10-10,USD,1.0
2025-10-11,USD,1.0
2025-10-12,USD,1.0
2025-10-13,USD,1.0
2025-10-14,USD,1.0
2025-10-15,USD,1.0
2025-10-16,USD,1.0
2025-10-17,USD,1.0
2025-10-18,USD,1.0
2025-10-19,USD,1.0
2025-10-20,USD,1.0
2025-10-21,USD,1.0
2025-10-22,USD,1.0
2025-10-23,USD,1.0
2025-10-24,USD,1.0
2025-10-25,USD,1.0
2025-10-26,USD,1.0
2025-10-27,USD,1.0
2025-10-28,USD,1.0
2025-10-29,USD,1.0
2025-10-30,USD,1.0
2025-10-31,USD,1.0
2025-11-01,USD,1.0
2025-11-02,USD,1.0
2025-11-03,USD,1.0
2025-11-04,USD,1.0
2025-11-05,USD,1.0
2025-11-06,USD,1.0
2025-11-07,USD,1.0
2025-11-08,USD,1.0
2025-11-09,USD,1.0
2025-11-10,USD,1.0
2025-11-11,USD,1.0
2025-11-12,USD,1.0
2025-11-13,USD,1.0
2025-11-14,USD,1.0
2025-11-15,USD,1.0
2025-11-16,USD,1.0
2025-11-17,USD,1.0
2025-11-18,USD,1.0
2025-11-19,USD,1.0
2025-11-20,USD,1.0
2025-11-21,USD,1.0
2025-11-22,USD,1.0
2025-11-23,USD,1.0
2025-11-24,USD,1.0
2025-11-25,USD,1.0
2025-11-26,USD,1.0
2025-11-27,USD,1.0
2025-11-28,USD,1.0
2025-11-29,USD,1.0
2025-11-30,USD,1.0
2025-12-01,USD,1.0
2025-12-02,USD,1.0
2025-12-03,USD,1.0
2025-12-04,USD,1.0
2025-12-05,USD,1.0
2025-12-06,USD,1.0
2025-12-07,USD,1.0
2025-12-08,USD,1.0
2025-12-09,USD,1.0
2025-12-10,USD,1.0
2025-12-11,USD,1.0
2025-12-12,USD,1.0
2025-12-13,USD,1.0
2025-12-14,USD,1.0
2025-12-15,USD,1.0
2025-12-16,USD,1.0
2025-12-17,USD,1.0
2025-12-18,USD,1.0
2025-12-19,USD,1.0
2025-12-20,USD,1.0
2025-12-21,USD,1.0
2025-12-22,USD,1.0
2025-12-23,USD,1.0
2025-12-24,USD,1.0
2025-12-25,USD,1.0
2025-12-26,USD,1.0
