audit_sk,audit_id,date_sk,event_type,table_name,user_role,user_id_hash,is_sensitive
1,aud_20c4105b4a014d43,20260622,LOGIN,,admin,82c306b6af28969b,False
2,aud_6a40cee63533402a,20260510,EXPORT,refunds,analyst,3e1b0f9573876035,True
3,aud_dde5f53a59c64d3e,20260212,INSERT,disputes,service,67d443d2bd95a8cd,False
4,aud_dd0626ff9ce541f5,20260714,INSERT,customers,analyst,3e1b0f9573876035,True
5,aud_a12c3a8e64ff4458,20250918,UPDATE,customers,service,67d443d2bd95a8cd,True
6,aud_d7ae52850b2b41dd,20260726,SELECT,transactions,data_engineer,44b07498d2d4e5bc,False
7,aud_2180081580464dc6,20260222,INSERT,transactions,analyst,3e1b0f9573876035,False
8,aud_92753ec82e7b4559,20260406,INSERT,merchants,analyst,3e1b0f9573876035,False
9,aud_14c5555658d54a9d,20260317,SELECT,transactions,analyst,3e1b0f9573876035,False
10,aud_413fa4b43cb440cb,20260102,UPDATE,transactions,readonly,b23db280d7028d3e,False
11,aud_38797dc31b234d01,20260223,SELECT,payment_methods,service,67d443d2bd95a8cd,True
12,aud_bffda1dd50314ebf,20260605,LOGIN_FAILED,,analyst,3e1b0f9573876035,False
13,aud_6a9c4a2f881f4bbc,20260126,SELECT,payment_methods,data_engineer,44b07498d2d4e5bc,True
14,aud_d32bfaf85bc44849,20251014,LOGIN_FAILED,,data_engineer,44b07498d2d4e5bc,False
15,aud_daae8eeccf554e2c,20260818,INSERT,merchants,compliance,a49feec9e0731f91,False
16,aud_10d330d4aa7d42a4,20260412,INSERT,customers,service,67d443d2bd95a8cd,True
17,aud_20122362cb7c4184,20260319,SELECT,transactions,compliance,a49feec9e0731f91,False
18,aud_e90d88acd1614594,20260430,LOGIN,,compliance,a49feec9e0731f91,False
19,aud_85ad726d383c4636,20260219,LOGIN,,data_engineer,44b07498d2d4e5bc,False
20,aud_780a5108f09145cf,20251207,SELECT,payment_methods,data_engineer,44b07498d2d4e5bc,True
21,aud_612c96a300774be7,20251216,INSERT,transactions,service,67d443d2bd95a8cd,False
22,aud_93cc55c5df2e413b,20251014,SELECT,transactions,admin,82c306b6af28969b,False
23,aud_399535fbbf6f4812,20260701,SELECT,transactions,analyst,3e1b0f9573876035,False
24,aud_3642c0998f944567,20260701,SELECT,customers,readonly,b23db280d7028d3e,True
25,aud_53f5486e5f354215,20260517,LOGIN,,analyst,3e1b0f9573876035,False
26,aud_31441cb873484f6b,20260123,LOGIN,,analyst,3e1b0f9573876035,False
27,aud_69a54d953dd74854,20260302,INSERT,transactions,data_engineer,44b07498d2d4e5bc,False
28,aud_80e18fbd11bc4046,20251029,SELECT,payment_methods,readonly,b23db280d7028d3e,True
29,aud_70b0a925a34f4a89,20250921,SELECT,merchants,readonly,b23db280d7028d3e,False
30,aud_acd2c24dbac64ec6,20251006,EXPORT,refunds,analyst,3e1b0f9573876035,True
31,aud_e174b7f43e7e41be,20260202,LOGIN_FAILED,,service,67d443d2bd95a8cd,False
32,aud_85d9ec9b25f34a10,20260729,SELECT,payment_methods,admin,82c306b6af28969b,True
33,aud_2bd50a49d3074e9e,20251012,SELECT,payment_methods,analyst,3e1b0f9573876035,True
34,aud_e49113a5f5ba4252,20251121,EXPORT,transactions,compliance,a49feec9e0731f91,True
35,aud_a514d6c92df04b7d,20251004,SELECT,transactions,data_engineer,44b07498d2d4e5bc,False
36,aud_93fc217792be4362,20260424,INSERT,transactions,admin,82c306b6af28969b,False
37,aud_636894faf592401d,20260226,INSERT,merchants,analyst,3e1b0f9573876035,False
38,aud_5b6c7043123a43e4,20251205,INSERT,transactions,service,67d443d2bd95a8cd,False
39,aud_044350b4ebbc4627,20260105,LOGIN,,service,67d443d2bd95a8cd,False
40,aud_f01a5042ab7b426e,20260110,ERASURE,transactions,readonly,b23db280d7028d3e,True
41,aud_9fd10326624f4324,20260714,SELECT,customers,service,67d443d2bd95a8cd,True
42,aud_d58af47816604627,20260815,SELECT,transactions,data_engineer,44b07498d2d4e5bc,False
43,aud_51dab47a01f64f20,20260407,EXPORT,payment_methods,readonly,b23db280d7028d3e,True
44,aud_1fb5af94ca0448de,20260523,SELECT,transactions,data_engineer,44b07498d2d4e5bc,False
45,aud_7f6ecc333d1f4282,20251024,INSERT,transactions,compliance,a49feec9e0731f91,False
46,aud_c997892c339d44b2,20250921,SELECT,payment_methods,readonly,b23db280d7028d3e,True
47,aud_8426a2c6b42f485c,20260330,LOGIN,,service,67d443d2bd95a8cd,False
48,aud_31e0e6917622446e,20260723,ERASURE,customers,compliance,a49feec9e0731f91,True
49,aud_a1c163f10d574f72,20250920,SELECT,transactions,compliance,a49feec9e0731f91,False
50,aud_320b2de9e6c042ed,20260429,ERASURE,disputes,readonly,b23db280d7028d3e,True
51,aud_813a48ecfbad41b8,20260514,SELECT,customers,data_engineer,44b07498d2d4e5bc,True
52,aud_3d02338a4b554b56,20260725,SELECT,payment_methods,readonly,b23db280d7028d3e,True
53,aud_d359270120104db6,20260527,LOGIN,,admin,82c306b6af28969b,False
54,aud_167ccd1fd5fe4baa,20260521,LOGIN,,compliance,a49feec9e0731f91,False
55,aud_5c65e77c28674135,20260701,LOGIN,,service,67d443d2bd95a8cd,False
56,aud_db6f42a39e514f0c,20260812,UPDATE,merchants,readonly,b23db280d7028d3e,False
57,aud_aef486a603d74574,20260410,SELECT,customers,admin,82c306b6af28969b,True
58,aud_725d0b27e1dc4357,20260423,INSERT,payment_methods,compliance,a49feec9e0731f91,True
59,aud_ebb8e6f21792442f,20250922,SELECT,customers,data_engineer,44b07498d2d4e5bc,True
60,aud_eccf851b3a064d7a,20260423,LOGIN_FAILED,,service,67d443d2bd95a8cd,False
61,aud_646ec6d747aa4d07,20260813,LOGIN,,service,67d443d2bd95a8cd,False
62,aud_bb85312421f74f22,20251026,EXPORT,refunds,data_engineer,44b07498d2d4e5bc,True
63,aud_962d4099671c4e73,20260725,LOGIN,,data_engineer,44b07498d2d4e5bc,False
64,aud_e4766974074c4ddd,20260228,SELECT,transactions,data_engineer,44b07498d2d4e5bc,False
65,aud_3dff8a20b3544cf0,20251005,INSERT,disputes,admin,82c306b6af28969b,False
66,aud_ea1b25269c574a72,20260419,INSERT,transactions,admin,82c306b6af28969b,False
67,aud_b063f9d8ae3b43f2,20260311,SELECT,payment_methods,admin,82c306b6af28969b,True
68,aud_93d64cd1d7024478,20260305,ERASURE,transactions,admin,82c306b6af28969b,True
69,aud_804d154ba9324e6f,20260623,DELETE,transactions,data_engineer,44b07498d2d4e5bc,False
70,aud_0eb223b6a4af4756,20260601,INSERT,transactions,data_engineer,44b07498d2d4e5bc,False
71,aud_6002ccd32fd94940,20251218,INSERT,transactions,readonly,b23db280d7028d3e,False
72,aud_1dbb3bcd34d14169,20260705,SELECT,refunds,service,67d443d2bd95a8cd,False
73,aud_9bb5a34dcac443f2,20260103,LOGIN,,analyst,3e1b0f9573876035,False
74,aud_380144231fd24d7e,20260219,LOGIN_FAILED,,analyst,3e1b0f9573876035,False
75,aud_1368be5c67b24c28,20260611,SELECT,transactions,readonly,b23db280d7028d3e,False
76,aud_ca88efe59d704050,20260415,INSERT,transactions,service,67d443d2bd95a8cd,False
77,aud_302ca852b3ed492b,20260414,SELECT,merchants,data_engineer,44b07498d2d4e5bc,False
78,aud_619b6363d2854464,20251020,SELECT,payment_methods,readonly,b23db280d7028d3e,True
79,aud_55775c1ad4c64883,20260219,SELECT,transactions,service,67d443d2bd95a8cd,False
80,aud_7ec8c1856a394303,20250920,SELECT,merchants,readonly,b23db280d7028d3e,False
81,aud_943f1cc765ea479d,20260803,INSERT,customers,service,67d443d2bd95a8cd,True
82,aud_0bc55174b2614f60,20260709,LOGIN_FAILED,,readonly,b23db280d7028d3e,False
83,aud_2fc09cf5ac134494,20260114,LOGIN,,data_engineer,44b07498d2d4e5bc,False
84,aud_f891cec4927941b1,20251031,SELECT,refunds,service,67d443d2bd95a8cd,False
85,aud_6e2aae6d4b964320,20260713,LOGIN,,compliance,a49feec9e0731f91,False
86,aud_e622ddfdb3f8492a,20260430,SELECT,transactions,compliance,a49feec9e0731f91,False
87,aud_8e4d60b07b344894,20251229,LOGIN,,compliance,a49feec9e0731f91,False
88,aud_a63e56aa292540f3,20260812,LOGIN_FAILED,,readonly,b23db280d7028d3e,False
89,aud_9ca9f448de134793,20251117,LOGIN,,analyst,3e1b0f9573876035,False
90,aud_fdae534ba4bd427d,20250915,LOGIN,,admin,82c306b6af28969b,False
91,aud_79b031d3bc314ca3,20260213,UPDATE,customers,analyst,3e1b0f9573876035,True
92,aud_9f10551342cc49fc,20260804,SELECT,transactions,admin,82c306b6af28969b,False
93,aud_0d4fc5cc0a8148d1,20260601,INSERT,transactions,admin,82c306b6af28969b,False
94,aud_c4789fbf53be4136,20260122,LOGIN,,data_engineer,44b07498d2d4e5bc,False
95,aud_e33da1700d884cdc,20260407,SELECT,transactions,analyst,3e1b0f9573876035,False
96,aud_91fd4a4f765e4e49,20260106,INSERT,transactions,analyst,3e1b0f9573876035,False
97,aud_4747fd140c3d4ce3,20260117,INSERT,refunds,readonly,b23db280d7028d3e,False
98,aud_2e038b761e354068,20260815,INSERT,merchants,analyst,3e1b0f9573876035,False
99,aud_97b71b27cbc148b1,20260305,INSERT,refunds,readonly,b23db280d7028d3e,False
100,aud_04eb8d5ce32f4041,20260625,SELECT,transactions,readonly,b23db280d7028d3e,False
101,aud_287a7c558b5f4ea7,20250921,SELECT,transactions,compliance,a49feec9e0731f91,False
102,aud_369bbc65c8134cf6,20251116,SELECT,customers,admin,82c306b6af28969b,True
103,aud_3e67addcb1a740b3,20260623,UPDATE,customers,analyst,3e1b0f9573876035,True
104,aud_e27be20840464519,20260221,LOGIN,,admin,82c306b6af28969b,False
105,aud_bd0d561c2c9b4f0a,20250922,SELECT,transactions,readonly,b23db280d7028d3e,False
106,aud_a64e5cf10fc3465e,20260701,LOGIN,,service,67d443d2bd95a8cd,False
107,aud_eb6ba861df804cb7,20260908,UPDATE,merchants,admin,82c306b6af28969b,False
108,aud_7d6ea60a660c4906,20260422,EXPORT,disputes,admin,82c306b6af28969b,True
109,aud_0e933f49d05f45b3,20260713,EXPORT,transactions,readonly,b23db280d7028d3e,True
110,aud_126555901b7e4d46,20260603,SELECT,refunds,compliance,a49feec9e0731f91,False
111,aud_39d696d21e394696,20251130,SELECT,disputes,service,67d443d2bd95a8cd,False
112,aud_7349ac1629d946a6,20251105,INSERT,transactions,data_engineer,44b07498d2d4e5bc,False
113,aud_fcfda6e3d0684526,20251202,SELECT,refunds,compliance,a49feec9e0731f91,False
114,aud_6146de95efe64c11,20260414,EXPORT,customers,compliance,a49feec9e0731f91,True
115,aud_bbed9a3063514540,20260829,INSERT,transactions,analyst,3e1b0f9573876035,False
116,aud_2c14300020944b14,20251117,UPDATE,transactions,data_engineer,44b07498d2d4e5bc,False
117,aud_a55aaff83c4d44fa,20260225,SELECT,transactions,analyst,3e1b0f9573876035,False
118,aud_ad07e43c16f04322,20260601,LOGIN,,data_engineer,44b07498d2d4e5bc,False
119,aud_8d4fb61b1a41436c,20260126,SELECT,customers,compliance,a49feec9e0731f91,True
120,aud_804cc4c8dc684548,20251013,SELECT,transactions,admin,82c306b6af28969b,False
121,aud_214431db896842eb,20260502,INSERT,transactions,readonly,b23db280d7028d3e,False
122,aud_18c0f5ea733e498a,20260427,UPDATE,transactions,analyst,3e1b0f9573876035,False
123,aud_d8a5d3ca508944c1,20260106,SELECT,refunds,compliance,a49feec9e0731f91,False
124,aud_46fa158316584f60,20260301,SELECT,merchants,service,67d443d2bd95a8cd,False
125,aud_8f835423db924208,20260309,SELECT,transactions,compliance,a49feec9e0731f91,False
126,aud_a0e7f6f25e774225,20260216,UPDATE,merchants,data_engineer,44b07498d2d4e5bc,False
127,aud_92d60acd3fde4be3,20260901,INSERT,refunds,admin,82c306b6af28969b,False
128,aud_c3fcdbccd7314751,20251119,DELETE,customers,admin,82c306b6af28969b,True
129,aud_5170d108b1bf4d22,20260520,SELECT,merchants,data_engineer,44b07498d2d4e5bc,False
130,aud_0ec66e9772db435c,20260827,LOGIN_FAILED,,analyst,3e1b0f9573876035,False
131,aud_dd3a3b8c6b2e430f,20260516,INSERT,transactions,service,67d443d2bd95a8cd,False
132,aud_a8202c77c784477e,20260224,SELECT,refunds,data_engineer,44b07498d2d4e5bc,False
133,aud_d778973b83074883,20260802,INSERT,transactions,data_engineer,44b07498d2d4e5bc,False
134,aud_885e34e355d143b7,20260608,LOGIN,,admin,82c306b6af28969b,False
135,aud_1eb6a8b217d745b2,20260817,SELECT,merchants,service,67d443d2bd95a8cd,False
136,aud_fb09e8500e2d4acc,20260412,LOGIN_FAILED,,data_engineer,44b07498d2d4e5bc,False
137,aud_e4fb7574443e4b42,20260810,LOGIN_FAILED,,data_engineer,44b07498d2d4e5bc,False
138,aud_9a210e1bfd6941ea,20260116,SELECT,payment_methods,service,67d443d2bd95a8cd,True
139,aud_491c3b65237a4f6e,20260703,SELECT,transactions,admin,82c306b6af28969b,False
140,aud_e51f399f8a4441d0,20260716,EXPORT,transactions,admin,82c306b6af28969b,True
141,aud_e0a42bbe7659409f,20260228,INSERT,payment_methods,readonly,b23db280d7028d3e,True
142,aud_6c84f7e53ae74ab7,20260309,UPDATE,disputes,admin,82c306b6af28969b,False
143,aud_c6ed4550b1fe4ed7,20251215,UPDATE,customers,admin,82c306b6af28969b,True
144,aud_0439d59c61a844b2,20260814,INSERT,merchants,admin,82c306b6af28969b,False
145,aud_f79d7884fa96454b,20260412,SELECT,transactions,analyst,3e1b0f9573876035,False
146,aud_a6c8bf1f53a34df8,20251123,SELECT,merchants,data_engineer,44b07498d2d4e5bc,False
147,aud_259dadea69f54218,20251115,INSERT,transactions,data_engineer,44b07498d2d4e5bc,False
148,aud_9eb77338f2e749b6,20260528,ERASURE,payment_methods,analyst,3e1b0f9573876035,True
149,aud_660ddd4816ed4309,20260307,SELECT,transactions,compliance,a49feec9e0731f91,False
150,aud_96b2c8aba879400e,20260626,UPDATE,customers,analyst,3e1b0f9573876035,True
151,aud_f3c375422b614a3d,20251121,INSERT,merchants,analyst,3e1b0f9573876035,False
152,aud_33b265cc42fe4a53,20260423,ERASURE,transactions,analyst,3e1b0f9573876035,True
153,aud_1c35dbbabeab468e,20250930,ERASURE,merchants,admin,82c306b6af28969b,True
154,aud_8018bd4915e34c01,20251227,INSERT,merchants,service,67d443d2bd95a8cd,False
155,aud_4745b6b48d804be1,20260104,SELECT,payment_methods,data_engineer,44b07498d2d4e5bc,True
156,aud_7610663ec9ba4d7e,20251115,LOGIN,,service,67d443d2bd95a8cd,False
157,aud_97f6ef48d54d4fd1,20250929,LOGIN_FAILED,,data_engineer,44b07498d2d4e5bc,False
158,aud_77cc03e8b39a448c,20260507,LOGIN,,compliance,a49feec9e0731f91,False
159,aud_8609b22f24d64b31,20260413,UPDATE,payment_methods,readonly,b23db280d7028d3e,True
160,aud_4f2cabfda82244bb,20251221,ERASURE,customers,admin,82c306b6af28969b,True
161,aud_e322d76394e948e8,20260108,ERASURE,payment_methods,service,67d443d2bd95a8cd,True
162,aud_111c4a6e0fa24bbf,20260401,SELECT,payment_methods,service,67d443d2bd95a8cd,True
163,aud_3f3c7548cb604734,20260102,INSERT,payment_methods,service,67d443d2bd95a8cd,True
164,aud_7b1a1602194d460f,20260726,INSERT,customers,compliance,a49feec9e0731f91,True
165,aud_af3d65ec83f646f1,20260908,UPDATE,customers,analyst,3e1b0f9573876035,True
166,aud_7b9e4333ee954250,20260213,SELECT,customers,data_engineer,44b07498d2d4e5bc,True
167,aud_19ba8f12370f4c8a,20260527,SELECT,merchants,admin,82c306b6af28969b,False
168,aud_f3beba1e395547aa,20251230,SELECT,payment_methods,data_engineer,44b07498d2d4e5bc,True
169,aud_cb911042992e42d4,20260511,LOGIN,,admin,82c306b6af28969b,False
170,aud_8297e68d2b3f4c35,20260312,UPDATE,payment_methods,analyst,3e1b0f9573876035,True
171,aud_27fd74cdf05c4d41,20251111,INSERT,customers,admin,82c306b6af28969b,True
172,aud_4e6c4dddccfd4764,20260620,INSERT,customers,service,67d443d2bd95a8cd,True
173,aud_cfb21579ba5747d6,20251103,LOGIN,,data_engineer,44b07498d2d4e5bc,False
174,aud_3723845f74164f77,20260702,INSERT,transactions,compliance,a49feec9e0731f91,False
175,aud_1f6bb6c61f524e5c,20260409,LOGIN,,analyst,3e1b0f9573876035,False
176,aud_fb2016d36c5e4c3d,20260522,UPDATE,transactions,compliance,a49feec9e0731f91,False
177,aud_cbd1da07e9fe4639,20260204,UPDATE,merchants,data_engineer,44b07498d2d4e5bc,False
178,aud_ad2551dbdb544c77,20260530,UPDATE,refunds,analyst,3e1b0f9573876035,False
179,aud_e5c902c1136b4281,20260213,LOGIN,,compliance,a49feec9e0731f91,False
180,aud_7b950d508cb04480,20260311,UPDATE,transactions,admin,82c306b6af28969b,False
181,aud_eb8946bcab274b8c,20251118,SELECT,payment_methods,service,67d443d2bd95a8cd,True
182,aud_f88224198c37437a,20251122,LOGIN_FAILED,,compliance,a49feec9e0731f91,False
183,aud_5a6cd43476bd47c6,20251221,SELECT,transactions,readonly,b23db280d7028d3e,False
184,aud_c88bbbc7530e48a5,20260503,EXPORT,transactions,data_engineer,44b07498d2d4e5bc,True
185,aud_f0bd24b5114346bc,20260728,SELECT,transactions,admin,82c306b6af28969b,False
186,aud_1c853a3f27b84c7a,20260518,SELECT,payment_methods,service,67d443d2bd95a8cd,True
187,aud_22ec0e88db7c42d4,20260809,UPDATE,payment_methods,data_engineer,44b07498d2d4e5bc,True
188,aud_980ec82aa07e4db4,20260803,LOGIN,,compliance,a49feec9e0731f91,False
189,aud_fedc4c6e2b6e4a8b,20251129,LOGIN,,data_engineer,44b07498d2d4e5bc,False
190,aud_9f3b393dd2814a1e,20260912,ERASURE,refunds,service,67d443d2bd95a8cd,True
191,aud_d1751bd0b3504fb8,20251015,SELECT,transactions,analyst,3e1b0f9573876035,False
192,aud_c47dfcf640e24c1e,20260409,UPDATE,transactions,readonly,b23db280d7028d3e,False
193,aud_30ec4266c2154e1e,20251122,UPDATE,refunds,compliance,a49feec9e0731f91,False
194,aud_91b9f893e73c4ad2,20251120,SELECT,disputes,compliance,a49feec9e0731f91,False
195,aud_75037ad9bd534e16,20260611,EXPORT,transactions,admin,82c306b6af28969b,True
196,aud_676e283a4b444ff3,20260608,SELECT,payment_methods,data_engineer,44b07498d2d4e5bc,True
197,aud_6b79a16d099f4cf0,20260914,SELECT,refunds,compliance,a49feec9e0731f91,False
198,aud_f109aa6d0738439c,20260205,SELECT,payment_methods,service,67d443d2bd95a8cd,True
199,aud_1a51f8452b8b40e2,20260404,SELECT,payment_methods,compliance,a49feec9e0731f91,True
200,aud_d37297127f3442af,20260419,EXPORT,refunds,compliance,a49feec9e0731f91,True
201,aud_da529528018e4180,20260323,SELECT,transactions,compliance,a49feec9e0731f91,False
202,aud_53b65421233140d9,20250917,SELECT,transactions,readonly,b23db280d7028d3e,False
203,aud_9ded4e570d0d44a6,20260821,SELECT,payment_methods,data_engineer,44b07498d2d4e5bc,True
204,aud_6c692d7c74b2434f,20260731,LOGIN_FAILED,,readonly,b23db280d7028d3e,False
205,aud_52374361a5594808,20260904,SELECT,merchants,service,67d443d2bd95a8cd,False
206,aud_41e30d066c5d4216,20251201,INSERT,transactions,admin,82c306b6af28969b,False
207,aud_353d6a7cfc494540,20260122,LOGIN,,service,67d443d2bd95a8cd,False
208,aud_6d43a8d1614a4694,20251018,SELECT,merchants,service,67d443d2bd95a8cd,False
209,aud_63823da439484bfe,20260118,SELECT,transactions,compliance,a49feec9e0731f91,False
210,aud_4db93ef436d74742,20260119,INSERT,transactions,compliance,a49feec9e0731f91,False
211,aud_665f3c597d4d4838,20260203,SELECT,payment_methods,data_engineer,44b07498d2d4e5bc,True
212,aud_68d6d44d8b09479d,20260729,LOGIN_FAILED,,service,67d443d2bd95a8cd,False
213,aud_fc3967b503ed4328,20260406,INSERT,merchants,admin,82c306b6af28969b,False
214,aud_2ca131176ed3416c,20251002,SELECT,customers,analyst,3e1b0f9573876035,True
215,aud_712e91eeb1ac453c,20260809,EXPORT,transactions,analyst,3e1b0f9573876035,True
216,aud_1bafdd62acd9440d,20251027,UPDATE,payment_methods,data_engineer,44b07498d2d4e5bc,True
217,aud_9109674f9294444c,20250928,EXPORT,merchants,compliance,a49feec9e0731f91,True
218,aud_2142295ddbe041b7,20260408,SELECT,transactions,compliance,a49feec9e0731f91,False
219,aud_3fc64348e7784f3e,20251008,UPDATE,customers,analyst,3e1b0f9573876035,True
220,aud_4ef3c2432e0a4a05,20260319,DELETE,transactions,service,67d443d2bd95a8cd,False
221,aud_8a98c06b177f4839,20260808,SELECT,transactions,analyst,3e1b0f9573876035,False
222,aud_2e80adaba518472f,20260127,INSERT,refunds,service,67d443d2bd95a8cd,False
223,aud_2972667187e44882,20260121,SELECT,transactions,admin,82c306b6af28969b,False
224,aud_0f7c5aea714b44cb,20260726,LOGIN,,service,67d443d2bd95a8cd,False
225,aud_97a2af306e324cf1,20260816,SELECT,disputes,admin,82c306b6af28969b,False
226,aud_350e7cf0dd51425f,20260308,INSERT,merchants,service,67d443d2bd95a8cd,False
227,aud_9f844b12db874fbc,20251118,SELECT,transactions,service,67d443d2bd95a8cd,False
228,aud_eb5b727bbbcc46c2,20260123,INSERT,transactions,data_engineer,44b07498d2d4e5bc,False
229,aud_510c7456793d47d4,20260101,LOGIN_FAILED,,readonly,b23db280d7028d3e,False
230,aud_fea7cb7bdba7485f,20260225,INSERT,payment_methods,service,67d443d2bd95a8cd,True
231,aud_8929ae02ca36418c,20260115,LOGIN,,compliance,a49feec9e0731f91,False
232,aud_3b5ac3d2c39f4d6e,20260104,LOGIN,,readonly,b23db280d7028d3e,False
233,aud_91ee323eb1674b8c,20260511,INSERT,transactions,data_engineer,44b07498d2d4e5bc,False
