subscription_id,customer_id,merchant_id,product_id,status,current_period_start,current_period_end,canceled_at,created_at,updated_at
sub_223540113f974247,cus_545e566a80294954,mer_138f0371099a4972,prod_4a5714f39eed44d9,active,2026-06-11,2027-06-11,,2026-06-11T05:19:16Z,2026-06-11T05:19:16Z
sub_8bbd1e4b09594d44,cus_770d8b455ae640b0,mer_55e37e7ae9164337,prod_3114abed7664462a,active,2026-09-08,2026-10-08,,2026-02-10T10:57:13Z,2026-09-08T10:57:13Z
sub_da2bb63a99264157,cus_ea4bfdf8034745e7,mer_9c2c40d0fb084265,prod_11b9afa317c14a20,active,2026-01-14,2027-01-14,,2026-01-14T09:07:50Z,2026-01-14T09:07:50Z
sub_e0d027dd1287461f,cus_a506b710ee1f4cbf,mer_cb824aa2603149bd,prod_6b46da13e5b942b9,past_due,2026-02-10,2027-02-10,,2026-02-10T07:42:07Z,2026-02-10T07:42:07Z
sub_495f3a6a32c74b19,cus_bae5eec4cf67455a,mer_cb824aa2603149bd,prod_6b46da13e5b942b9,canceled,2026-05-21,2027-05-21,2026-09-13T21:41:04Z,2026-05-21T20:24:23Z,2026-09-13T21:41:04Z
sub_856cd916ed614c85,cus_5f3fcbf003cc43cb,mer_4c90125afead4b68,prod_3a2bf5570f1542b4,active,2026-08-19,2026-09-18,,2026-04-21T10:44:16Z,2026-08-19T10:44:16Z
sub_c0df0965982044f8,cus_8913d204e28d4303,mer_cb824aa2603149bd,prod_752e4dc5574c42b4,active,2026-08-31,2026-09-30,,2026-03-04T14:30:26Z,2026-08-31T14:30:26Z
sub_1a8937824f974dfb,cus_87ee4a8459d942db,mer_cb824aa2603149bd,prod_f87bc5749c1c4e65,active,2026-02-21,2027-02-21,,2026-02-21T13:53:51Z,2026-02-21T13:53:51Z
sub_cd716b056acf463e,cus_a506b710ee1f4cbf,mer_55e37e7ae9164337,prod_2e0b913d92b14c6a,canceled,2026-09-13,2026-10-13,2026-01-10T17:29:28Z,2025-10-18T08:28:27Z,2026-01-10T17:29:28Z
sub_41269c5f480b46df,cus_eba8c6828321465a,mer_5a02a7c23ec5450d,prod_2648110d69374189,active,2026-05-01,2027-05-01,,2026-05-01T15:42:37Z,2026-05-01T15:42:37Z
sub_444a92f2e6e04485,cus_be6af78bd27141ff,mer_138f0371099a4972,prod_4a5714f39eed44d9,past_due,2026-01-14,2027-01-14,,2026-01-14T19:52:11Z,2026-01-14T19:52:11Z
sub_b8b028c50b4e4575,cus_85a043b3a2224733,mer_1e47a07064d3446b,prod_e866354ef77446a0,active,2026-05-23,2027-05-23,,2026-05-23T00:46:57Z,2026-05-23T00:46:57Z
sub_c6649b7d855f4bcb,cus_bcfdb6161ef745fa,mer_d6d762d8faa145ce,prod_468611a834f54177,canceled,2026-09-12,2026-10-12,2026-08-14T12:15:33Z,2026-07-14T05:00:24Z,2026-08-14T12:15:33Z
sub_3ebb3fdf964f4e1d,cus_561a33c4a5d04056,mer_0b2c61759f9543ce,prod_02efec794b1f4787,active,2026-08-30,2026-09-29,,2025-12-03T11:22:34Z,2026-08-30T11:22:34Z
sub_4618fe9de7dc4a39,cus_8adf56b9b22a41e2,mer_1894cb2f8dc64283,prod_24391b92e2624a79,active,2026-07-02,2027-07-02,,2026-07-02T02:53:28Z,2026-07-02T02:53:28Z
sub_3165ac4924fd43b4,cus_0cf99459f2954186,mer_55446817044148a5,prod_cf89d246cda64648,canceled,2026-07-16,2027-07-16,2026-09-14T01:11:50Z,2026-07-16T02:02:37Z,2026-09-14T01:11:50Z
