transaction_id,merchant_id,customer_id,payment_method_id,product_id,subscription_id,amount,currency_code,status,failure_reason,ip_address,geo_country_code,geo_city,device_type,idempotency_key,created_at,updated_at
ch_e4bce1ac6a34451d,mer_2cfe9913335c43db,cus_f35639d16748423a,pm_f78addc35ac14119,prod_5386b194066a494a,,6861.0,JPY,succeeded,,190.212.152.243,SG,North Kylie,mobile,21f297231ee542b3b12d54cf5436123c,2025-09-14T10:16:51Z,2025-09-14T10:16:51Z
ch_6ad546e8adfc4dbb,mer_c95ed1a912af4366,cus_c1c8ad81fa8e4ffd,pm_a2e2390a5f1e43fc,prod_cc1e490c243b42ab,sub_9e4f09c4a6e3458e,144.32,USD,succeeded,,115.212.76.178,NG,Kimberlyfurt,desktop,93a54f1d666743ff9bc7cbb9bcdd0927,2025-09-15T06:06:37Z,2025-09-15T06:06:37Z
ch_2d4f8e314a3c4177,mer_e61e35c1b9244af2,cus_2dca6c94ae8c4e31,pm_260642ba63734a75,prod_0683127e33e94ff1,,77.06,EUR,succeeded,,45.26.2.219,SG,West John,mobile,810fbe5dc2d344f89df21627dbd5e0e3,2025-09-15T14:14:04Z,2025-09-15T14:14:04Z
ch_e43f09ad06ee49a8,mer_3bb8b17fd98a4003,cus_904296edffa44235,pm_ea1794b3cf0e4b2d,prod_cd930e6bdc0c41e2,,53.61,GBP,succeeded,,204.139.244.74,NG,Port Belindatown,mobile,01331d72cb6241f28f0364e272dbf8af,2025-09-15T18:18:30Z,2025-09-15T18:18:30Z
ch_90895a4fa01542ce,mer_78864bf1d15a424c,cus_3a3b75646e0840b7,pm_c238546d3aad4f6a,prod_566f9913834c48ca,,205.25,AUD,succeeded,,222.204.176.224,FR,East Edward,desktop,24e7be4052f74bdf96b8a11ee5e34b21,2025-09-15T21:45:54Z,2025-09-15T21:45:54Z
ch_f2692a9486154bc2,mer_fe0efaa2d6134d2b,cus_5ee51625a1224ab5,pm_1d5a9442f4244f86,prod_b7103931324a485e,,53.01,GBP,succeeded,,40.90.186.243,SG,East Cynthiaport,mobile,76f14a6801714f8795eded2a831c1b80,2025-09-16T05:58:16Z,2025-09-16T05:58:16Z
ch_ae5289254b284f9a,mer_e61e35c1b9244af2,cus_d22f11f68e0d43e5,pm_1b6772f0b450426a,,,131.02,EUR,succeeded,,12.202.27.188,JP,New Melissa,mobile,a01c91570eac43709a5ca9ad4f3039c1,2025-09-16T12:31:33Z,2025-09-16T12:31:33Z
ch_9c7bb009ea3d4f67,mer_2cfe9913335c43db,cus_015747cd97b64e91,pm_a3d1a58ae569408a,prod_5386b194066a494a,,6861.0,JPY,succeeded,,180.133.235.5,ES,South Brandyhaven,desktop,26869a85af2e4a36b93c138c33fe4966,2025-09-16T12:35:35Z,2025-09-16T12:35:35Z
ch_0f057680b14f4400,mer_dbdcfcb3e3f34611,cus_3ee2282cf11140ae,pm_4898a8f181f44681,prod_e4f95634cb974fbe,,66494.26,NGN,succeeded,,105.228.234.19,US,West Mary,mobile,172ce8cbc5624f9fabc13066438714e1,2025-09-16T13:58:55Z,2025-09-16T13:58:55Z
ch_df83c31466c14552,mer_0ff11db1fd2a4838,cus_ed2299e5013b49cf,pm_83acc7f4beff4abc,,,6197.0,JPY,succeeded,,210.114.97.58,ES,North Melissatown,mobile,c3e980822ca74a6581d3a53c9e9bf28e,2025-09-16T14:00:17Z,2025-09-16T14:00:17Z
